Codes,Titles,Number of US Businesses
331221,Rolled Steel Shape Manufacturing,700
331222,Steel Wire Drawing,580
331313,Alumina Refining and Primary Aluminum Production,279
331314,Secondary Smelting and Alloying of Aluminum,79
331315,"Aluminum Sheet, Plate, and Foil Manufacturing",238
331318,"Other Aluminum Rolling, Drawing, and Extruding",650
331410,Nonferrous Metal (except Aluminum) Smelting and Refining,601
331420,"Copper Rolling, Drawing, Extruding, and Alloying",430
331491,"Nonferrous Metal (except Copper and Aluminum) Rolling, Drawing, and Extruding",787
331492,"Secondary Smelting, Refining, and Alloying of Nonferrous Metal (except Copper and Aluminum)",327
331511,Iron Foundries,508
331512,Steel Investment Foundries,287
331513,Steel Foundries (except Investment),396
331523,Nonferrous Metal Die-Casting Foundries,511
331524,Aluminum Foundries (except Die-Casting),537
331529,Other Nonferrous Metal Foundries (except Die-Casting),727
332111,Iron and Steel Forging,"1,081"
332112,Nonferrous Forging,154
332114,Custom Roll Forming,30
332117,Powder Metallurgy Part Manufacturing,60
332119,"Metal Crown, Closure, and Other Metal Stamping (except Automotive)","3,235"
332215,"Metal Kitchen Cookware, Utensil, Cutlery, and Flatware (except Precious) Manufacturing","2,073"
332216,Saw Blade and Handtool Manufacturing,"2,248"
332311,Prefabricated Metal Building and Component Manufacturing,"1,765"
332312,Fabricated Structural Metal Manufacturing,"7,507"
332313,Plate Work Manufacturing,"1,871"
332321,Metal Window and Door Manufacturing,"1,864"
332322,Sheet Metal Work Manufacturing,"5,449"
332323,Ornamental and Architectural Metal Work Manufacturing,"2,641"
332410,Power Boiler and Heat Exchanger Manufacturing,250
332420,Metal Tank (Heavy Gauge) Manufacturing,392
332431,Metal Can Manufacturing,457
332439,Other Metal Container Manufacturing,407
332510,Hardware Manufacturing,"2,064"
332613,Spring Manufacturing,505
332618,Other Fabricated Wire Product Manufacturing,"1,746"
332710,Machine Shops,"18,965"
332721,Precision Turned Product Manufacturing,"1,174"
332722,"Bolt, Nut, Screw, Rivet, and Washer Manufacturing","1,113"
332811,Metal Heat Treating,729
332812,"Metal Coating, Engraving (except Jewelry and Silverware), and Allied Services to Manufacturers","3,110"
332813,"Electroplating, Plating, Polishing, Anodizing, and Coloring","3,288"
332911,Industrial Valve Manufacturing,852
332912,Fluid Power Valve and Hose Fitting Manufacturing,485
332913,Plumbing Fixture Fitting and Trim Manufacturing,580
332919,Other Metal Valve and Pipe Fitting Manufacturing,800
332991,Ball and Roller Bearing Manufacturing,406
332992,Small Arms Ammunition Manufacturing,308
332993,Ammunition (except Small Arms) Manufacturing,140
332994,"Small Arms, Ordnance, and Ordnance Accessories Manufacturing","1,205"
332996,Fabricated Pipe and Pipe Fitting Manufacturing,969
332999,All Other Miscellaneous Fabricated Metal Product Manufacturing,"4,261"
333111,Farm Machinery and Equipment Manufacturing,"3,275"
333112,Lawn and Garden Tractor and Home Lawn and Garden Equipment Manufacturing,722
333120,Construction Machinery Manufacturing,"4,049"
333131,Mining Machinery and Equipment Manufacturing,641
333132,Oil and Gas Field Machinery and Equipment Manufacturing,"1,899"
333241,Food Product Machinery Manufacturing,"1,402"
333242,Semiconductor Machinery Manufacturing,303
333243,"Sawmill, Woodworking, and Paper Machinery Manufacturing","1,447"
333244,Printing Machinery and Equipment Manufacturing,809
333249,Other Industrial Machinery Manufacturing,"3,830"
333314,Optical Instrument and Lens Manufacturing,"1,303"
333316,Photographic and Photocopying Equipment Manufacturing,"1,115"
333318,Other Commercial and Service Industry Machinery Manufacturing,"6,051"
333413,Industrial and Commercial Fan and Blower and Air Purification Equipment Manufacturing,"1,196"
333414,Heating Equipment (except Warm Air Furnaces) Manufacturing,883
333415,Air-Conditioning and Warm Air Heating Equipment and Commercial and Industrial Refrigeration Equipment Manufacturing,"2,898"
333511,Industrial Mold Manufacturing,"1,330"
333514,"Special Die and Tool, Die Set, Jig, and Fixture Manufacturing","3,946"
333515,Cutting Tool and Machine Tool Accessory Manufacturing,"2,209"
333517,Machine Tool Manufacturing,"3,462"
333519,Rolling Mill and Other Metalworking Machinery Manufacturing,"1,003"
333611,Turbine and Turbine Generator Set Units Manufacturing,716
333612,"Speed Changer, Industrial High-Speed Drive, and Gear Manufacturing",285
333613,Mechanical Power Transmission Equipment Manufacturing,541
333618,Other Engine Equipment Manufacturing,879
333911,Pump and Pumping Equipment Manufacturing,"1,441"
333912,Air and Gas Compressor Manufacturing,708
333913,Measuring and Dispensing Pump Manufacturing,78
333921,Elevator and Moving Stairway Manufacturing,412
333922,Conveyor and Conveying Equipment Manufacturing,"1,047"
333923,"Overhead Traveling Crane, Hoist, and Monorail System Manufacturing",792
333924,"Industrial Truck, Tractor, Trailer, and Stacker Machinery Manufacturing","1,727"
333991,Power-Driven Handtool Manufacturing,470
333992,Welding and Soldering Equipment Manufacturing,592
333993,Packaging Machinery Manufacturing,850
333994,Industrial Process Furnace and Oven Manufacturing,630
333995,Fluid Power Cylinder and Actuator Manufacturing,244
333996,Fluid Power Pump and Motor Manufacturing,284
333997,Scale and Balance Manufacturing,310
333999,All Other Miscellaneous General Purpose Machinery Manufacturing,"6,001"
334111,Electronic Computer Manufacturing,"2,563"
334112,Computer Storage Device Manufacturing,"1,029"
334118,Computer Terminal and Other Computer Peripheral Equipment Manufacturing,"3,271"
334210,Telephone Apparatus Manufacturing,"1,290"
334220,Radio and Television Broadcasting and Wireless Communications Equipment Manufacturing,"3,745"
334290,Other Communications Equipment Manufacturing,"1,481"
334310,Audio and Video Equipment Manufacturing,"2,229"
334412,Bare Printed Circuit Board Manufacturing,152
334413,Semiconductor and Related Device Manufacturing,"3,641"
334416,"Capacitor, Resistor, Coil, Transformer, and Other Inductor Manufacturing",827
334417,Electronic Connector Manufacturing,491
334418,Printed Circuit Assembly (Electronic Assembly) Manufacturing,"1,251"
334419,Other Electronic Component Manufacturing,"3,674"
334510,Electromedical and Electrotherapeutic Apparatus Manufacturing,"2,852"
334511,"Search, Detection, Navigation, Guidance, Aeronautical, and Nautical System and Instrument Manufacturing","2,361"
334512,"Automatic Environmental Control Manufacturing for Residential, Commercial, and Appliance Use","1,337"
334513,"Instruments and Related Products Manufacturing for Measuring, Displaying, and Controlling Industrial Process Variables","2,351"
334514,Totalizing Fluid Meter and Counting Device Manufacturing,391
334515,Instrument Manufacturing for Measuring and Testing Electricity and Electrical Signals,"2,122"
334516,Analytical Laboratory Instrument Manufacturing,"1,807"
334517,Irradiation Apparatus Manufacturing,344
334519,Other Measuring and Controlling Device Manufacturing,"2,839"
334613,Blank Magnetic and Optical Recording Media Manufacturing,583
334614,"Software and Other Prerecorded Compact Disc, Tape, and Record Reproducing","1,996"
335110,Electric Lamp Bulb and Part Manufacturing,438
335121,Residential Electric Lighting Fixture Manufacturing,728
335122,"Commercial, Industrial, and Institutional Electric Lighting Fixture Manufacturing",918
335129,Other Lighting Equipment Manufacturing,"2,437"
335210,Small Electrical Appliance Manufacturing,900
335221,Household Cooking Appliance Manufacturing,264
335222,Household Refrigerator and Home Freezer Manufacturing,98
335224,Household Laundry Equipment Manufacturing,107
335228,Other Major Household Appliance Manufacturing,375
335311,"Power, Distribution, and Specialty Transformer Manufacturing",849
335312,Motor and Generator Manufacturing,"1,634"
335313,Switchgear and Switchboard Apparatus Manufacturing,952
335314,Relay and Industrial Control Manufacturing,"2,112"
335911,Storage Battery Manufacturing,515
335912,Primary Battery Manufacturing,114
335921,Fiber Optic Cable Manufacturing,175
335929,Other Communication and Energy Wire Manufacturing,166
335931,Current-Carrying Wiring Device Manufacturing,875
335932,Noncurrent-Carrying Wiring Device Manufacturing,648
335991,Carbon and Graphite Product Manufacturing,274
335999,All Other Miscellaneous Electrical Equipment and Component Manufacturing,"6,159"
336111,Automobile Manufacturing,"1,295"
336112,Light Truck and Utility Vehicle Manufacturing,78
336120,Heavy Duty Truck Manufacturing,538
336211,Motor Vehicle Body Manufacturing,"1,044"
336212,Truck Trailer Manufacturing,"1,170"
336213,Motor Home Manufacturing,99
336214,Travel Trailer and Camper Manufacturing,963
336310,Motor Vehicle Gasoline Engine and Engine Parts Manufacturing,792
336320,Motor Vehicle Electrical and Electronic Equipment Manufacturing,"1,233"
336330,Motor Vehicle Steering and Suspension Components (except Spring) Manufacturing,158
336340,Motor Vehicle Brake System Manufacturing,180
336350,Motor Vehicle Transmission and Power Train Parts Manufacturing,512
336360,Motor Vehicle Seating and Interior Trim Manufacturing,428
336370,Motor Vehicle Metal Stamping,864
336390,Other Motor Vehicle Parts Manufacturing,"4,033"
336411,Aircraft Manufacturing,"2,051"
336412,Aircraft Engine and Engine Parts Manufacturing,968
336413,Other Aircraft Parts and Auxiliary Equipment Manufacturing,"2,493"
336414,Guided Missile and Space Vehicle Manufacturing,193
336415,Guided Missile and Space Vehicle Propulsion Unit and Propulsion Unit Parts Manufacturing,155
336419,Other Guided Missile and Space Vehicle Parts and Auxiliary Equipment Manufacturing,88
336510,Railroad Rolling Stock Manufacturing,612
336611,Ship Building and Repairing,"1,160"
336612,Boat Building,"2,919"
336991,"Motorcycle, Bicycle, and Parts Manufacturing","1,414"
336992,"Military Armored Vehicle, Tank, and Tank Component Manufacturing",253
336999,All Other Transportation Equipment Manufacturing,"1,088"
337110,Wood Kitchen Cabinet and Countertop Manufacturing,"12,777"
337121,Upholstered Household Furniture Manufacturing,998
337122,Nonupholstered Wood Household Furniture Manufacturing,"3,529"
337124,Metal Household Furniture Manufacturing,472
337125,Household Furniture (except Wood and Metal) Manufacturing,562
337127,Institutional Furniture Manufacturing,"2,650"
337211,Wood Office Furniture Manufacturing,"1,022"
337212,Custom Architectural Woodwork and Millwork Manufacturing,"1,071"
337214,Office Furniture (except Wood) Manufacturing,612
337215,"Showcase, Partition, Shelving, and Locker Manufacturing","1,093"
337910,Mattress Manufacturing,778
337920,Blind and Shade Manufacturing,"1,393"
339112,Surgical and Medical Instrument Manufacturing,"5,024"
339113,Surgical Appliance and Supplies Manufacturing,"4,730"
339114,Dental Equipment and Supplies Manufacturing,"1,641"
339115,Ophthalmic Goods Manufacturing,"1,226"
339116,Dental Laboratories,"10,209"
339910,Jewelry and Silverware Manufacturing,"6,189"
339920,Sporting and Athletic Goods Manufacturing,"8,726"
339930,"Doll, Toy, and Game Manufacturing","3,831"
339940,Office Supplies (except Paper) Manufacturing,"2,001"
339950,Sign Manufacturing,"19,320"
339991,"Gasket, Packing, and Sealing Device Manufacturing",817
339992,Musical Instrument Manufacturing,"1,885"
339993,"Fastener, Button, Needle, and Pin Manufacturing",547
339994,"Broom, Brush, and Mop Manufacturing",367
339995,Burial Casket Manufacturing,165
339999,All Other Miscellaneous Manufacturing,"25,745"
